transport_,src_conn,dst_conn,source_,destination_,source_hash,destination_hash
iterator_v2: 920,vertica_writer,vertica_writer,ostrota.accounts_sessionid_1000000_b0,dm_maker_sandbox.order_session_v_last_hit_id,7403377273564733163,619648532003502807
iterator_v2: 445,vertica_writer,vertica_writer,public.region,analytics.potential_visa_metrics,4143286934503637128,1854221997060657705
iterator_v2: 1388,vertica_writer,vertica_writer,ostrota.fidelity_fidelityaccounttype,dm_maker_sandbox.order_descriptive_attributes_v10,7164336259183570995,7190271000805696610
iterator_v2: 362,vertica_writer,vertica_writer,dm_maker_sandbox.booking_channels_for_test2,dm_maker_sandbox.booking_channels_smeared_for_test2,1669510626000702122,7185245083575473501
iterator_v2: 1336,vertica_writer,vertica_writer,analytics.order_extra_profit_override,dm_maker_sandbox.order_extra_profit_override_info,3200955525463500042,5518739338047554632
iterator_v2: 881,vertica_writer,vertica_writer,dimensions.session_channel_level,analytics.cost_marketing,8164071608209403248,234807436032444958
iterator_v2: 976,vertica_writer,vertica_writer,public.rate_reprice_kafka,dm_maker_sandbox.supplier_why_not_selling,1112521489017572576,8440598575549158808
iterator_v2: 803,vertica_writer,vertica_writer,weblogs.webusers_is_office,dm_maker_sandbox.order_descriptive_attributes_v7,1485386311341629200,2122937247160598631
iterator_v2: 1149,vertica_writer,vertica_writer,analytics.order_base,dm_maker_sandbox.order_extra_profit_override_v5,9030169330647550503,4525401626175405787
iterator_v2: 1595,vertica_writer,vertica_writer,extranet.hotels_rateplan,dm_maker_sandbox.extranet_availability_v2,8693625342427587713,6011829205542506147
iterator_v2: 1125,vertica_writer,vertica_writer,mailota.mail_mailhistory,dm_maker_sandbox.historical_data_completeness,8553699882589095662,1564456047364042239
iterator_v2: 486,vertica_writer,vertica_writer,ostrota.fidelity_fidelitysegmentaccount,dm_maker_sandbox.fidelitytransaction_booking,1379185681308213469,6691709139356466776
iterator_v2: 1416,vertica_writer,vertica_writer,antifraud.fraudulent_orders,dm_maker_sandbox.order_descriptive_attributes_v11,3723766020496614965,465620187652001815
iterator_v1: 31,vertica_writer,vertica_writer,content.master_base_content,analytics.cpc_cost,2671315426437866503,8128685429692210711
iterator_v2: 920,vertica_writer,vertica_writer,weblogs.webusers_is_office,dm_maker_sandbox.order_session_v_last_hit_id,1485386311341629200,619648532003502807
iterator_v2: 1466,vertica_writer,vertica_writer,extranet.hotels_hotel,analytics.extranet_rate_data_aggregated_snapshot,1480472807122991639,7303833258245546355
iterator_v2: 1521,vertica_writer,vertica_writer,analytics.b2b_partner_portrait,dm_maker_sandbox.opscost_attribution_actions,297875280344056040,9057526886708264030
iterator_v2: 1141,vertica_writer,vertica_writer,partners.rail_bookinglayover,dm_maker_sandbox.historical_data_completeness,4418019699683400165,1564456047364042239
iterator_v2: 1559,vertica_writer,vertica_writer,crm.action_log_action,dm_maker_sandbox.direct_supply_actions_cohorts_v1,8748240824510115999,8467711008075720599
