transport_,new_source,new_destination
iterator_v1: 14,vertica_writer.retargeting.mytarget_cost_per_session,vertica_writer.analytics.cpc_cost
iterator_v2: 1049,vertica_writer.static.brand_name,vertica_writer.analytics.cost_marketing
iterator_v2: 486,vertica_writer.analytics.region,vertica_writer.dm_maker_sandbox.fidelitytransaction_booking
iterator_v2: 420,vertica_writer.weblogs2.hit_funnel_rate,vertica_writer.dm_maker_sandmox.webuser_info
iterator_v2: 455,vertica_writer.content.otachain,vertica_writer.dm_maker_sandbox.bar_coverage
iterator_v2: 1151,vertica_writer.partners.partners_profile,vertica_writer.dm_maker_sandbox.search_destination_v3
iterator_v2: 1225,vertica_writer.public.booking,vertica_writer.dm_maker_sandbox.session_multichannel_v2
iterator_v2: 975,vertica_writer.partners.stat_orderitem,vertica_writer.dm_maker_sandbox.b2b_partner_credit_risk
iterator_v2: 1384,vertica_writer.ostrota.fidelity_fidelityaccount,vertica_writer.dm_maker_sandbox.session_multichannel_v6
iterator_v2: 239,vertica_writer.analytics.sessions,vertica_writer.dm_maker_sandbox.sem_type_v3
iterator_v2: 1254,vertica_writer.public.booking,vertica_writer.dm_maker_sandbox.blog_article_economics_v3
iterator_v2: 1114,vertica_writer.ostrota.orders_orderitem,vertica_writer.dm_maker_sandbox.order_test_4
iterator_v2: 1115,vertica_writer.static.office_ips,vertica_writer.dm_maker_sandbox.order_test_5_log
iterator_v2: 252,vertica_writer.public.booking,vertica_writer.dm_maker_sandbox.booking_channels_not_paid_locale_normal
iterator_v2: 817,vertica_writer.actualize.booking_smearing_proportion_day,vertica_writer.dm_maker_sandbox.booking_session_smearing
iterator_v2: 1589,vertica_writer.analytics.agent_team_history,vertica_writer.dm_maker_sandbox.opscost_attribution_entities
iterator_v2: 1140,vertica_writer.partners.order_railorderitem,vertica_writer.dm_maker_sandbox.historical_data_completeness
iterator_v1: 8,vertica_writer.analytics.currency_converter,vertica_writer.metasearch.dapi_clicklog
iterator_v2: 1431,vertica_writer.partners.partners_etglegalentity,vertica_writer.analytics.order_vat
iterator_v2: 344,vertica_writer.static.brand_name,vertica_writer.dm_maker_sandbox.metasearch_costs
iterator_v2: 587,vertica_writer.rin.ripe,vertica_writer.analytics.hit_funnel_bot
iterator_v2: 1640,vertica_writer.analytics.hit_funnel,vertica_writer.dm_maker_sandbox.bcom_rates_current_supply_metrics
iterator_v2: 445,vertica_writer.analytics.ticket,vertica_writer.analytics.potential_visa_metrics
iterator_v2: 804,vertica_writer.analytics_sandbox.partners_pricing_target_margin_set_20201201,vertica_writer.dm_maker_sandbox.bandit_iterator_v3
iterator_v2: 1249,vertica_writer.partners.partners_segmentation_property,vertica_writer.dm_maker_sandbox.b2b_product_tab_v2
iterator_v2: 1532,vertica_writer.extranet.hotels_hotel,vertica_writer.dm_maker_sandbox.otahotel_to_actual_extranet_hotel
